rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis;Passes completados_man;Passes completados_vis;Laterais cobrados_man;Laterais cobrados_vis
26;Coritiba;Botafogo;1;2;45%;55%;10;18;4;3;6;5;0;10;20;14;4;11;2;2;1;3;14;18;3;1;342;404;23;9;101;105;37;42;;;;;;;;
26;Internacional;Palmeiras;2;0;42%;58%;12;13;4;0;3;10;5;3;23;14;4;8;1;1;0;2;13;23;4;2;329;439;20;14;101;114;31;53;;;;;;;;
26;Sport;Grêmio;1;1;43%;57%;9;13;2;1;5;5;2;7;11;22;3;7;2;2;0;1;21;9;2;3;400;519;16;14;78;138;33;72;0;1;;;;;;
26;Atlético-GO;Fluminense;2;1;39%;61%;11;5;5;2;3;1;3;2;15;20;11;6;0;0;1;3;18;18;3;4;280;452;14;12;85;91;43;32;;;;;;;;
26;São Paulo;Atlético-MG;3;0;48%;52%;17;14;7;6;7;3;3;5;13;11;5;3;3;3;6;4;9;10;2;4;483;536;19;9;82;102;37;45;0;1;;;;;;
25;Vasco;Fluminense;1;1;44%;56%;20;10;4;4;9;6;7;0;14;20;4;2;1;0;3;3;21;14;6;2;404;516;12;12;119;97;38;27;;;;;;;;
25;Corinthians;São Paulo;1;0;38%;62%;14;17;5;6;7;4;2;7;9;12;4;5;0;1;6;4;12;8;0;1;310;499;24;13;105;118;42;42;;;;;;;;
25;Sport;Coritiba;1;0;55%;45%;20;14;6;3;9;6;5;5;14;20;7;6;0;0;3;5;20;14;0;1;448;369;17;21;110;99;53;48;;;;;;;;
25;Flamengo;Santos;4;1;56%;44%;12;6;4;3;8;3;0;0;11;15;6;4;3;2;2;0;12;11;2;1;460;367;14;14;115;66;57;29;;;;;;;;
25;Ceará;Atlético-GO;1;2;40%;60%;8;12;3;6;4;1;1;5;17;14;2;8;3;2;4;2;13;15;0;3;341;503;17;17;83;112;32;45;;;;;;;;
25;Goiás;Grêmio;0;0;40%;60%;12;17;2;5;6;8;4;4;12;12;4;9;0;2;5;2;12;10;4;1;300;448;17;17;84;117;23;83;;;;;;;;
25;Internacional;Botafogo;2;1;49%;51%;12;12;3;2;7;7;2;3;19;24;4;6;0;0;1;1;23;19;4;5;414;444;5;13;118;109;42;27;;;;;;;;
25;Palmeiras;Bahia;3;0;59%;41%;15;18;7;7;3;6;5;5;20;15;8;7;4;1;7;4;11;20;2;3;509;343;12;9;102;80;46;33;;;;;;;;
25;Athletico-PR;Atlético-MG;0;1;43%;57%;16;10;5;3;8;5;3;2;17;22;5;3;4;4;2;5;20;13;2;2;353;484;9;9;93;99;29;37;;;;;;;;
25;Red Bull Bragantino;Fortaleza;2;1;52%;48%;14;13;7;5;6;6;1;2;19;16;2;5;0;2;4;5;17;18;3;2;424;393;12;16;122;97;44;44;;;;;;;;
18;São Paulo;Botafogo;4;0;66%;34%;31;8;14;1;13;6;4;1;7;14;12;0;1;0;1;10;12;8;0;2;644;352;9;10;145;77;83;11;0;1;;;;;;
24;Atlético-GO;Goiás;0;1;68%;32%;12;10;3;2;4;7;5;1;23;21;15;1;4;2;1;3;17;21;3;3;422;203;15;18;123;71;66;30;;;;;;;;
24;Atlético-MG;Internacional;2;2;63%;37%;9;10;2;3;6;4;1;3;18;21;3;4;4;5;1;1;18;14;2;6;584;316;10;14;81;71;30;27;;;;;;;;
24;Grêmio;Vasco;4;0;60%;40%;22;6;10;3;9;2;3;1;8;10;5;3;1;1;3;6;9;8;2;1;600;404;11;20;86;70;38;28;;;;;;;;
24;São Paulo;Sport;1;0;63%;37%;13;4;7;0;4;4;2;0;20;17;11;1;0;3;0;6;17;16;4;4;641;378;10;11;98;80;51;30;;;;;;;;
24;Coritiba;Red Bull Bragantino;0;0;43%;57%;9;23;3;5;3;13;3;5;26;19;3;12;2;0;5;3;17;26;4;3;333;419;15;14;91;129;25;57;;;;;;;;
24;Bahia;Ceará;0;2;52%;48%;9;11;2;5;5;4;2;2;18;13;6;4;1;1;3;2;12;17;2;2;448;416;11;15;115;96;44;49;;;;;;;;
24;Fluminense;Athletico-PR;3;1;69%;31%;27;5;13;1;8;2;6;2;17;18;15;2;2;0;0;10;16;18;4;4;578;254;11;11;120;77;70;19;0;1;;;;;;
24;Botafogo;Flamengo;0;1;34%;66%;13;14;3;3;4;4;6;7;25;17;5;7;0;0;2;3;16;26;1;1;293;572;19;14;83;135;29;94;1;1;;;;;;
24;Santos;Palmeiras;2;2;60%;40%;15;11;5;5;8;3;2;3;17;17;8;7;2;0;3;3;14;16;3;3;388;264;9;11;96;74;50;26;0;1;;;;;;
1;Goiás;São Paulo;0;3;41%;59%;9;15;3;6;4;6;2;3;20;17;2;9;0;1;3;3;16;19;3;0;317;456;12;13;64;68;45;56;;;;;;;;
24;Fortaleza;Corinthians;0;0;45%;55%;13;9;5;4;5;3;3;2;14;15;3;4;2;0;4;5;12;15;1;2;343;413;15;8;113;106;53;39;1;1;;;;;;
23;Fluminense;Red Bull Bragantino;0;0;45%;55%;7;11;1;4;3;3;3;4;21;19;5;5;4;0;4;1;15;21;2;3;362;438;17;24;94;116;40;48;;;;;;;;
6;Grêmio;Goiás;2;1;65%;35%;26;5;10;2;12;2;4;1;16;18;8;1;2;1;1;8;15;17;2;2;671;346;17;17;132;85;75;25;;;;;;;;
23;Vasco;Ceará;1;4;68%;32%;12;11;4;6;7;4;1;1;20;14;9;3;1;3;2;3;15;18;3;2;487;230;9;16;130;71;57;33;;;;;;;;
23;Atlético-GO;Internacional;0;0;42%;58%;9;17;0;6;3;8;6;3;21;24;8;9;5;4;6;0;20;18;1;4;281;397;8;14;81;88;36;51;0;1;;;;;;
23;Bahia;São Paulo;1;3;37%;63%;15;17;6;8;4;4;5;5;16;13;5;9;1;1;5;5;12;15;0;2;347;597;7;9;86;116;52;70;;;;;;;;
23;Palmeiras;Athletico-PR;3;0;58%;42%;22;4;8;1;11;3;3;0;17;21;10;1;4;2;1;5;16;15;2;1;469;356;11;10;118;76;62;17;;;;;;;;
23;Santos;Sport;4;2;59%;41%;11;9;5;3;4;2;2;4;23;19;5;4;3;0;1;1;17;24;3;3;423;291;12;14;102;77;36;26;;;;;;;;
23;Fortaleza;Goiás;1;1;70%;30%;15;6;8;1;6;3;1;2;20;20;2;0;3;0;0;7;17;19;2;0;620;268;9;11;143;82;48;21;;;;;;;;
23;Atlético-MG;Botafogo;2;1;54%;46%;11;4;6;3;5;1;0;0;22;26;10;2;2;4;2;4;25;19;2;4;463;396;11;14;98;66;30;17;;;;;;;;
23;Coritiba;Corinthians;0;1;53%;47%;11;11;3;2;6;5;2;4;26;13;4;2;1;2;1;3;13;25;2;2;463;418;11;12;124;109;53;45;;;;;;;;
16;Ceará;São Paulo;1;1;32%;68%;11;18;6;4;3;8;2;6;14;22;5;5;2;1;3;5;20;13;5;3;305;659;16;9;93;111;42;46;;;;;;;;
