rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis
25;Santos;Grêmio;1;0;59%;41%;13;8;5;3;5;3;3;2;26;15;9;3;1;1;20;14;3;4;14;25;4;7;444;318;13;16;113;96;49;36;0;1
25;Internacional;Chapecoense;5;2;51%;49%;15;10;11;4;3;4;1;2;20;21;7;7;1;1;12;15;2;6;16;14;3;1;434;422;16;10;101;109;39;42;;
25;Juventude;América-MG;1;1;58%;42%;14;10;5;2;4;3;5;5;38;34;3;4;0;0;32;20;1;4;24;26;6;3;425;304;24;18;107;104;50;51;;
25;Palmeiras;Red Bull Bragantino;2;4;55%;45%;20;12;6;6;8;3;6;3;24;20;8;3;4;0;21;21;2;4;14;15;1;2;457;380;16;19;106;101;66;31;;
25;Athletico-PR;Bahia;0;2;59%;41%;16;8;3;4;11;1;2;3;9;14;7;2;1;0;37;30;2;3;14;9;1;2;481;349;24;27;138;90;66;23;;
25;Fortaleza;Flamengo;0;3;40%;60%;6;13;2;6;2;6;2;1;17;13;3;5;3;0;15;20;3;2;9;15;0;2;338;500;20;12;78;131;25;43;1;0
25;Atlético-MG;Ceará;3;1;54%;46%;12;11;4;5;6;3;2;3;15;19;8;5;2;2;22;24;4;1;12;10;1;3;427;354;14;19;82;115;50;31;;
25;Fluminense;Atlético-GO;0;0;52%;48%;14;11;1;2;11;6;2;3;18;18;3;6;3;1;24;16;2;1;15;17;2;2;422;389;27;15;116;96;57;26;0;1
25;Sport;Corinthians;1;0;34%;66%;11;9;3;3;6;2;2;4;7;15;7;4;1;1;11;14;3;2;14;7;3;0;341;705;22;17;86;132;35;40;;
24;São Paulo;Santos;1;1;60%;40%;14;6;3;3;6;2;5;1;14;21;9;3;3;2;19;27;2;2;19;12;2;4;427;301;18;13;132;98;56;27;;
