rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Passes completados_man;Passes completados_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis
16;Arouca;Braga;0;6;57%;43%;6;11;0;8;4;3;2;0;;;1;1;2;3;;;2;0;14;16;1;2;418;395;;;21;13;109;111;30;18;;;;
16;Ferreira;Santa Clara;2;1;50%;50%;9;11;3;4;3;6;3;1;;;2;4;0;0;;;3;1;15;23;4;4;466;381;;;22;16;106;87;31;32;0;1;;
16;Sporting;Portimonense;3;2;71%;29%;24;6;12;2;6;3;6;1;;;5;0;3;3;;;0;9;17;10;4;3;635;285;;;10;8;91;60;64;21;0;1;;
16;Vitória SC;Boavista;1;1;58%;42%;17;11;2;4;8;4;7;3;;;11;4;0;4;;;3;1;23;16;6;2;440;316;;;8;15;93;63;57;19;;;;
16;Moreirense;Estoril;1;0;31%;69%;5;13;3;4;2;6;0;3;;;7;11;3;1;;;4;2;13;11;2;4;274;574;;;6;13;66;129;33;72;;;;
16;Maritimo;Vizela;2;0;63%;37%;11;7;5;1;3;4;3;2;;;2;4;0;0;;;1;3;18;15;2;4;471;320;;;17;25;105;96;39;27;0;1;;
16;Tondela;Gil Vicente;0;3;43%;57%;7;12;2;6;4;6;1;0;;;6;2;4;1;;;3;2;21;10;5;2;395;474;;;12;10;80;109;34;33;;;;
15;Braga;BSAD;1;0;55%;45%;18;6;5;2;10;2;3;2;;;6;3;2;2;;;2;4;22;14;4;4;637;437;;;18;16;118;83;59;18;;;;
15;Vizela;FC Porto;0;4;34%;66%;9;15;4;7;2;6;3;2;;;3;11;3;0;;;3;4;12;8;1;1;311;617;;;17;16;65;131;28;59;1;0;;
15;Benfica;Maritimo;7;1;57%;43%;17;9;9;2;6;7;2;0;;;1;3;3;0;;;1;2;20;12;1;2;531;352;;;25;19;104;110;50;23;;;;
15;Boavista;Moreirense;1;0;57%;43%;14;8;5;3;5;2;4;3;;;5;7;0;1;;;3;4;14;13;2;2;345;361;;;15;23;107;96;35;42;1;0;;
15;Gil Vicente;Sporting;0;3;56%;44%;7;17;4;9;1;6;2;2;;;1;5;3;2;;;6;4;9;10;1;5;461;501;;;5;11;92;109;31;52;1;1;;
15;Portimonense;Arouca;1;1;63%;37%;12;19;5;6;6;9;1;4;;;5;6;4;1;;;5;4;15;15;3;4;438;294;;;14;13;124;103;52;29;;;;
