rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Passes completados_man;Passes completados_vis;Acerto de passes_man;Acerto de passes_vis
31;Mainz;Bayern;2;1;35%;65%;8;17;4;4;4;13;16;14;2;3;2;1;27;23;3;2;12;15;3;4;255;640;67;161;39;78;;;;;;;;
31;Union Berlin;Bremen;3;1;56%;44%;17;9;6;5;11;4;12;15;11;2;6;3;33;30;4;3;10;8;;;480;410;116;101;46;22;;;;;;;;
31;Wolfsburg;Dortmund;0;2;53%;47%;21;8;2;4;19;4;13;11;10;2;1;1;23;34;2;2;10;12;1;3;455;405;128;88;53;43;0;1;;;;;;
31;Augsburg;Köln;2;3;51%;49%;13;14;5;6;8;8;13;17;6;3;0;0;23;26;3;3;17;13;2;3;387;344;131;105;54;49;;;;;;;;
30;Bremen;Mainz;0;1;61%;39%;18;13;4;5;14;8;15;6;10;4;0;2;31;19;4;4;7;13;1;2;539;264;140;107;116;74;;;;;;;;
30;Dortmund;Union Berlin;2;0;51%;49%;21;5;11;2;10;3;12;14;4;3;3;3;17;15;2;9;12;10;2;1;500;450;98;92;65;57;;;;;;;;
30;Hoffenheim;Monchengladbach;3;2;56%;44%;19;5;6;3;13;2;8;10;5;4;1;3;21;15;1;3;9;5;3;0;480;392;98;63;67;52;;;;;;;;
30;Stuttgart;Wolfsburg;1;3;58%;42%;11;13;4;4;7;9;13;13;4;1;1;3;26;18;1;3;12;11;3;0;595;368;78;79;53;32;;;;;;;;
30;Bayern;Leverkusen;2;0;59%;41%;26;6;9;3;17;3;19;7;7;3;3;4;17;20;3;7;6;14;;;644;416;147;82;75;38;;;;;;;;
30;Bielefeld;Schalke;1;0;45%;55%;16;6;5;0;11;6;15;17;4;2;4;3;20;30;0;4;14;12;3;5;276;368;108;112;45;38;0;1;;;;;;
30;Frankfurt;Augsburg;2;0;60%;40%;12;14;4;4;8;10;11;21;7;5;4;3;15;18;4;2;18;8;3;1;576;348;128;91;61;44;;;;;;;;
30;Köln;RB Leipzig;2;1;36%;64%;5;23;3;6;2;17;17;9;0;8;0;0;16;22;5;1;9;16;2;3;235;626;55;138;32;80;;;;;;;;
29;Dortmund;Bremen;4;1;65%;35%;19;10;9;3;10;7;17;11;7;4;3;3;12;8;2;5;8;14;1;4;749;361;98;18;31;2;;;;;;;;
